trainee_number,quality_group_score,cognition,initial_rating_score,final_instructor_score,sea_command,land_command,command_final,thinking_ability_final,sea_performance_final,teamwork_final,stress_resilience_final,persistence_final,motivation,structures_test,sea_rowing,sea_rowing_test,fuel_regulator_test,navigation_test,gps_test,fire_extinguishing_test,marine_navigation_radar_test,professional_lecture,lecture_from_home,submarine_heating_exercise,topographic_map_exercise,raft_exercise,ps2_exercise,commander_qualities_exercise,billion_dollar_exercise,rowing,ship_interception_exercise,hole_digging,sociometric_stretchers,journey_1,journey_2,sociometric_rope,crawls,hydraulic_system_test,submarine_watch_exercise,m16_disassembly,m16_assembly,m16_final,psychologist_interview,psychologist_final,naval_officers_formula_score,number_of_trainees_in_group,commander_sociometric_position,friend_sociometric_position,commander_sociometric_ninths,friend_sociometric_ninths,commander_sociometric_percentile,cubes_in_darkness,pull_up_exercise,acid_stream_exercise,rowing_competition,material_evacuation_exercise,machinery_component_understanding,machinery_mechanical_system_analysis,machinery_drawing_analysis,machinery_understanding_physical_forces,machinery_final_suitability_score,machinery_recommendation,electronics_simulator_score,electronics_electrical_circuit_test,electronics_interview,electronics_final_suitability_score,electronics_recommendation,conduct_two_assessments_flag,short_assessment
95,54,60,35,7,6,6,6,6,7,7,7,6,6,80,60,20,22,16,40,0,0,5,0,4,5,7,5,5,5,5,0,7,7,5,4,5,0,0,0,0,0,0,0,0,68,15,5,2,6,7,73.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
301,55,70,32,6,5,4,6,7,6,6,5,6,5,0,100,20,56,0,60,0,0,6,6,0,7,6,8,6,0,6,6,7,7,7,6,7,6,0,0,0,0,0,0,0,68,12,1,1,8,8,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,56,80,32,6,5,7,6,7,6,7,7,6,7,100,80,40,79,64,70,74,50,7,0,6,5,6,5,5,6,6,0,4,5,6,5,6,0,0,0,0,0,0,0,0,70,15,2,3,7,7,93.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,56,80,40,6,4,3,4,6,5,6,5,5,7,0,0,0,79,44,70,100,0,7,0,4,0,0,6,0,0,3,0,7,7,5,5,0,0,0,0,0,0,0,0,0,66,14,4,5,6,5,78.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,56,80,31,8,8,7,8,7,8,7,7,7,9,100,80,80,85,60,70,0,0,7,7,7,6,6,6,8,7,5,0,5,7,5,5,6,0,0,0,0,0,0,0,0,78,12,1,8,7,4,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
566,0,0,0,6,5,5,5,7,6,6,5,5,7,80,40,20,60,30,40,0,0,7,5,0,0,4,3,0,3,7,0,0,0,0,0,0,0,64,6,6,6,6,0,0,54,12,10,5,4,6,25.0,5,7,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,56,90,31,7,5,6,7,7,7,7,7,7,8,100,60,60,88,72,60,0,0,6,0,3,3,6,6,6,6,5,0,4,5,6,6,5,0,0,0,0,0,0,0,0,65,12,4,5,7,6,75.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,55,80,24,6,6,6,5,7,6,5,5,5,9,0,0,0,100,0,30,98,82,7,8,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,63,12,3,3,6,6,83.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,54,60,0,7,7,6,8,6,7,7,7,8,9,0,80,20,60,0,40,0,0,5,8,5,8,8,4,6,7,7,6,6,7,6,6,5,7,0,0,0,0,0,0,0,65,12,6,9,6,4,58.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
534,54,60,31,7,6,7,6,4,6,6,6,6,9,0,100,20,0,40,50,0,0,7,7,0,0,4,5,0,0,6,4,0,0,0,0,0,0,0,0,0,0,5,0,0,71,13,1,6,8,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,55,70,32,5,6,7,5,7,5,5,4,5,9,60,40,80,0,0,60,56,44,8,5,8,4,6,4,7,0,4,0,5,5,4,4,5,0,0,0,0,0,0,0,0,61,14,8,11,5,4,50.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,56,90,29,6,5,6,6,8,6,5,5,6,9,0,40,40,70,30,70,0,0,7,9,0,4,5,5,6,6,5,6,6,5,5,6,6,6,0,6,0,0,6,0,0,66,12,1,2,7,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,55,70,31,3,4,3,3,6,4,7,4,5,7,100,100,20,68,21,50,0,0,6,6,2,0,6,1,3,1,5,2,5,8,4,5,4,8,0,0,0,0,0,0,0,58,10,6,8,5,4,50.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,56,70,40,6,0,6,6,6,0,6,4,5,6,80,100,20,70,48,40,0,0,8,8,5,0,0,4,4,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,4,0,13,1,1,8,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,55,80,25,7,7,6,7,5,7,9,8,8,8,0,0,0,0,0,0,100,60,8,6,0,7,0,6,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,2,5,6,5,87.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,56,80,32,8,7,8,7,7,7,8,7,7,8,0,0,0,50,66,70,100,0,7,0,5,0,0,8,5,0,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,76,15,3,5,7,6,86.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,55,70,31,8,8,7,8,7,8,8,8,8,9,100,80,40,56,2,40,0,0,8,8,6,6,8,6,8,8,5,0,7,6,5,8,7,0,0,0,0,0,0,0,0,80,15,2,3,8,7,93.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,56,90,30,6,5,4,5,6,6,7,5,7,7,100,40,60,68,0,60,0,62,6,0,2,4,4,5,4,0,0,0,5,8,5,5,4,0,0,0,0,0,0,5,5,65,12,3,3,6,6,83.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,53,70,25,7,5,7,6,7,6,7,6,6,7,80,60,0,90,0,70,70,56,6,7,4,5,5,7,5,0,0,0,4,5,5,6,5,0,0,0,0,0,0,4,4,65,12,3,11,5,4,83.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,55,80,29,7,6,6,6,6,6,7,7,7,9,0,0,0,80,0,50,96,70,6,0,5,5,0,6,7,5,0,0,1,7,6,7,0,0,0,0,0,0,0,0,5,72,14,1,2,8,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,55,70,31,6,5,7,7,6,0,5,5,5,7,80,80,40,67,57,40,58,42,8,7,3,0,5,7,5,5,0,0,4,8,5,6,4,0,0,0,0,0,0,0,0,66,13,1,1,8,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,56,80,28,3,5,3,5,6,5,5,5,5,7,0,0,0,80,2,0,100,90,6,5,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,6,4,6,5,2,58.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,56,90,0,4,5,4,4,4,6,4,4,5,7,0,40,80,90,30,70,0,0,2,2,4,3,5,5,3,3,4,4,5,7,6,6,4,7,0,0,0,0,0,0,0,55,12,3,2,6,6,83.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
198,56,80,33,5,4,4,4,3,5,6,3,5,8,60,40,20,66,24,30,0,0,5,7,5,6,5,3,5,4,5,0,4,6,5,6,5,0,0,0,0,0,0,0,0,65,11,1,4,8,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,54,70,0,7,7,6,6,6,7,8,8,8,8,100,100,40,30,0,30,0,0,7,0,6,7,0,5,6,5,9,0,7,5,7,5,6,0,0,0,0,0,0,0,0,70,15,7,2,6,7,60.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,56,70,34,7,6,6,6,6,6,6,6,6,7,0,0,0,78,0,0,88,80,7,0,4,5,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,6,2,2,6,6,83.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,56,80,37,7,7,6,7,6,7,7,7,7,8,0,0,0,70,0,0,80,66,0,0,0,0,0,6,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,4,4,0,7,1,2,8,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,56,80,33,8,7,6,7,7,8,8,7,5,8,80,100,60,80,40,70,0,0,9,0,7,5,7,8,0,7,6,0,7,5,5,5,7,0,0,0,0,0,0,0,0,81,13,1,1,8,8,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,55,70,32,6,5,4,6,5,6,6,4,6,7,0,0,0,48,0,0,88,66,7,0,0,6,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,8,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,54,80,25,8,6,8,7,6,6,6,7,6,8,100,100,60,90,20,30,0,0,6,6,6,5,5,4,4,5,7,0,8,5,8,6,8,0,0,0,0,0,0,0,0,63,12,4,3,7,6,75.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,56,70,35,0,5,6,5,4,5,5,5,5,7,0,0,0,50,70,100,0,0,5,5,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,3,6,6,73.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,55,70,32,0,6,3,5,5,6,6,6,5,7,0,0,0,66,60,90,0,0,5,4,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,15,2,1,7,7,93.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,56,90,27,5,4,5,5,7,4,5,4,6,8,0,0,0,70,70,60,100,0,7,5,5,5,6,7,0,0,0,0,7,6,5,6,0,0,0,0,0,0,0,0,0,54,13,7,5,6,6,53.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,56,70,38,0,6,2,4,3,6,6,5,6,8,0,0,0,50,46,100,0,0,3,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2,7,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,55,70,32,8,7,7,7,8,0,8,8,8,7,100,80,100,68,76,80,0,0,8,8,7,0,0,8,8,7,0,0,0,0,6,6,0,0,0,0,0,0,0,0,6,73,13,5,10,6,4,69.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,56,90,31,6,6,5,6,4,6,6,6,7,8,0,0,0,0,0,0,64,63,6,0,0,0,0,3,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,6,6,85.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
201,54,80,26,6,6,6,6,5,7,6,7,7,6,0,100,40,80,15,30,0,0,8,7,3,5,6,4,5,6,0,7,6,6,6,6,6,6,0,0,0,0,0,0,0,61,13,7,7,5,5,53.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
206,56,80,29,6,4,5,5,7,5,6,6,6,7,80,80,20,70,42,40,0,0,8,0,0,0,5,7,5,5,0,5,0,6,5,6,5,6,60,7,0,0,0,0,0,64,14,3,3,7,7,85.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,56,70,33,6,5,4,5,6,5,6,6,5,7,0,0,0,90,62,60,100,0,7,0,5,0,0,4,0,0,5,0,2,7,5,5,0,0,0,0,0,0,0,0,0,68,14,2,6,7,5,89.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
289,56,80,34,5,4,4,4,6,5,7,7,7,7,0,60,60,60,44,80,0,0,4,7,0,3,5,5,4,5,6,7,5,7,5,7,6,0,0,5,0,0,2,0,0,64,14,3,2,7,7,85.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,56,90,0,6,6,0,7,6,5,6,8,6,9,0,0,0,80,0,0,98,84,7,7,5,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,1,1,7,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,56,60,38,5,6,4,5,6,5,7,6,6,6,0,0,0,0,0,0,38,77,6,0,0,0,0,6,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,7,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,53,60,0,7,6,6,7,6,6,6,6,6,6,0,0,0,70,0,0,76,52,5,0,5,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,9,5,5,56.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,55,60,35,4,7,4,6,3,7,6,5,5,7,0,0,0,60,42,70,80,0,6,0,3,0,0,3,0,0,6,0,4,6,5,5,0,0,0,0,0,0,0,0,0,72,14,3,2,7,7,89.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,53,60,0,4,7,7,7,7,6,8,8,9,7,40,80,7,37,50,7,0,0,5,3,0,6,6,2,7,5,6,5,3,9,6,0,4,3,40,6,4,0,0,0,0,75,12,1,8,8,5,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,54,60,33,5,6,3,5,4,0,5,6,5,5,40,60,40,41,40,20,76,44,5,4,2,6,5,3,7,4,0,0,8,7,5,5,4,0,0,0,0,0,0,0,0,64,11,2,1,7,7,90.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
240,54,80,23,7,6,8,7,6,7,7,7,6,5,100,80,60,60,34,60,0,0,6,6,0,0,6,2,5,5,5,5,7,5,7,7,7,0,0,0,0,0,0,0,0,69,16,1,7,7,5,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,56,90,32,7,6,6,7,7,0,7,6,6,7,0,0,0,80,49,60,80,0,6,6,5,5,6,6,6,4,0,0,5,4,6,6,0,0,0,0,0,0,0,0,4,71,10,2,6,6,5,90.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,55,70,30,4,0,4,4,6,5,7,5,7,7,100,100,80,32,72,50,78,24,6,5,4,0,5,7,4,0,0,0,4,6,5,6,4,0,0,0,0,0,0,0,0,0,12,10,8,4,5,25.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,54,60,32,7,7,8,7,7,7,7,7,7,9,0,0,0,5,0,0,80,20,0,8,0,0,0,8,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,16,8,15,5,4,56.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
231,56,90,27,6,6,6,6,5,5,7,7,7,6,0,100,80,70,70,50,0,0,6,0,0,5,6,6,7,7,5,0,7,6,6,5,6,0,0,0,0,0,5,0,0,63,13,6,12,6,4,61.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,56,70,33,6,6,5,6,6,6,7,6,6,6,0,0,0,79,0,0,80,40,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,4,5,80.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,56,90,31,7,7,5,6,7,0,7,7,7,7,80,40,100,78,54,80,0,50,7,7,3,0,5,6,5,0,0,0,0,5,6,7,5,0,0,0,0,0,0,0,0,78,13,1,4,8,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,55,80,27,9,7,7,7,7,7,9,8,8,8,8,10,8,5,4,4,0,0,4,7,3,5,4,7,5,6,8,0,7,9,5,5,5,0,0,0,0,0,0,0,0,74,13,2,6,7,5,92.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,56,90,0,6,5,6,6,7,5,5,6,6,6,0,0,0,90,0,0,100,90,6,0,7,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,6,5,4,5,37.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,56,70,34,7,6,7,7,7,7,7,7,7,8,100,60,60,60,55,60,80,60,8,7,4,7,6,6,4,5,6,0,4,6,6,5,6,0,0,0,0,0,0,0,0,72,15,4,4,7,6,80.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,54,80,25,4,3,3,3,5,5,5,5,5,5,0,0,0,88,22,80,100,0,5,0,3,0,0,6,0,0,5,0,6,6,5,5,0,0,0,0,0,0,0,0,0,58,14,1,1,7,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,56,80,34,5,5,5,5,4,6,6,6,6,4,0,0,0,50,22,90,56,0,7,0,6,0,0,4,5,0,0,0,3,0,5,5,0,0,0,0,0,0,0,0,0,70,15,1,2,8,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,54,70,26,5,4,6,5,5,4,4,5,5,8,0,0,0,75,0,0,76,76,3,0,0,0,0,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,4,6,57.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,55,70,33,6,6,5,6,5,6,6,5,6,7,80,80,40,45,43,60,0,0,4,0,7,7,6,7,7,6,5,0,5,3,3,4,6,0,0,0,0,0,0,0,0,69,15,1,4,8,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,55,70,32,7,6,6,6,6,6,7,6,7,7,0,40,20,24,28,40,0,0,7,6,6,6,5,6,6,5,0,5,5,6,8,7,6,6,0,0,0,0,0,0,0,71,13,3,5,6,6,84.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,54,80,0,6,5,5,6,7,6,7,4,7,7,100,100,60,100,50,30,0,0,8,8,4,5,6,4,6,5,6,0,5,4,6,4,5,0,0,0,0,0,0,0,0,63,15,8,11,6,5,53.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
